Model,Calibration,Accuracy,F1,ECE,Brier
FL-FedAvg (MLP),Uncalibrated,0.721667,0.482972,0.227132,0.197243
FL-FedAvg (MLP),Platt,0.793889,0.205567,0.056409,0.148173
FL-FedAvg (MLP),Temperature,0.721667,0.482972,0.225227,0.196673
FL-FedAvg (MLP),Beta,0.793889,0.205567,0.056409,0.148173
FL-FedAvg (LSTM),Uncalibrated,0.810278,0.467654,0.154141,0.172675
FL-FedAvg (LSTM),Platt,0.791111,0.249501,0.071553,0.155032
FL-FedAvg (LSTM),Temperature,0.810278,0.467654,0.146699,0.170682
FL-FedAvg (LSTM),Beta,0.791111,0.249501,0.071553,0.155032
Central NN,Uncalibrated,0.812778,0.383912,0.034111,0.141368
Central NN,Platt,0.805000,0.311765,0.107534,0.152821
Central NN,Temperature,0.812778,0.383912,0.030201,0.141558
Central NN,Beta,0.805000,0.311765,0.107534,0.152821
